cafeId,cafename,branchName,numberAddress,roadNameAddress,longitude,latitude
633,스타벅스,포스코점,서울특별시 강남구 대치동 942-5,서울특별시 강남구 삼성로86길,127.0579257,37.50576457
634,스타벅스,서울세관사거리점,서울특별시 강남구 논현동 238-5,서울특별시 강남구 언주로,127.0357413,37.51491147
635,스타벅스선릉로점,선릉로점,서울특별시 강남구 역삼동 697-45,서울특별시 강남구 선릉로93길,127.046716,37.50495379
636,스타벅스,사당역점,서울특별시 동작구 사당동 1031-27,서울특별시 동작구 동작대로,126.9813515,37.4784759
637,스타벅스명동역,,서울특별시 중구 충무로1가 25-52,서울특별시 중구 퇴계로,126.9830833,37.56085569
638,스타벅스중계역점,중계역점,서울특별시 노원구 상계동 763-3,서울특별시 노원구 동일로,127.0621587,37.64815447
639,스타벅스커리학동사거리점,커리학동사거리점,서울특별시 강남구 논현동 93-2,서울특별시 강남구 도산대로,127.0379529,37.52239022
640,스타벅스,신논현역점,서울특별시 서초구 반포동 748-1,서울특별시 서초구 강남대로,127.023627,37.50531485
641,스타벅스,수유역점,서울특별시 강북구 번동 418-17,서울특별시 강북구 도봉로,127.0261078,37.63802308
642,스타벅스,선릉역점,서울특별시 강남구 역삼동 708-6,서울특별시 강남구 테헤란로,127.0485159,37.5039411
643,스타벅스,서울시청점,서울특별시 중구 을지로1가 50,서울특별시 중구 을지로,126.9799417,37.56629791
644,스타벅스천호로데오점,천호로데오점,서울특별시 강동구 천호동 453-14,서울특별시 강동구 천호대로,127.1273154,37.53783463
645,스타벅스,마포용강동점,서울특별시 마포구 용강동 112-2,서울특별시 마포구 토정로,126.9422063,37.54119622
646,스타벅스,남가좌사거리점,서울특별시 서대문구 남가좌동 224-1,서울특별시 서대문구 거북골로,126.9184627,37.57822103
647,스타벅스마포일진빌딩점,마포일진빌딩점,서울특별시 마포구 도화동 50-1,서울특별시 마포구 마포대로,126.9463581,37.54046745
648,스타벅스,자양점,서울특별시 광진구 자양동 507-6,서울특별시 광진구 능동로,127.0691588,37.53566952
649,스타벅스,상봉역점,서울특별시 중랑구 상봉동 100-2,서울특별시 중랑구 망우로,127.0864584,37.59693178
650,스타벅스,송파헬리오시티점,서울특별시 송파구 가락동 479,서울특별시 송파구 송파대로,127.1025188,37.49760579
651,스타벅스,우장산역점,서울특별시 강서구 내발산동 719-6,서울특별시 강서구 강서로,126.8359236,37.54958505
652,스타벅스역삼럭키,,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.0393917,37.49222561
653,스타벅스,역삼대로점,서울특별시 강남구 역삼동 678-39,서울특별시 강남구 테헤란로,127.0392228,37.50187455
654,스타벅스명동메트로,,서울특별시 중구 을지로2가 199-33,서울특별시 중구 명동9가길,126.9837157,37.56512306
655,스타벅스,강남대로점,서울특별시 강남구 역삼동 809-10,서울특별시 강남구 강남대로,127.0255555,37.5031322
656,스타벅스경복아파트점,경복아파트점,서울특별시 강남구 역삼동 681,서울특별시 강남구 봉은사로,127.0403528,37.50902009
657,스타벅스,상암MBC점,서울특별시 마포구 상암동 1603,서울특별시 마포구 성암로,126.8909658,37.5811105
658,스타벅스,여의도한양증권점,서울특별시 영등포구 여의도동 34-11,서울특별시 영등포구 국제금융로6길,126.9290886,37.52239936
659,스타벅스,현대미아점,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로,127.0287256,37.60839154
660,스타벅스,구로NC점,서울특별시 구로구 구로동 573,서울특별시 구로구 구로중앙로,126.882759,37.50063348
661,스타벅스,마리오아울렛점,서울특별시 금천구 가산동 60-20,서울특별시 금천구 벚꽃로,126.8850681,37.47843551
662,스타벅스,역삼포스코점,서울특별시 강남구 역삼동 735-3,서울특별시 강남구 테헤란로,127.0337924,37.49937038
663,스타벅스,고대점,서울특별시 성북구 안암동5가 104-30,서울특별시 성북구 인촌로24길,127.029689,37.58391819
664,스타벅스,노원역점,서울특별시 노원구 상계동 712,서울특별시 노원구 동일로,127.0600017,37.65475991
